Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A527054,OWNER SUR,01/02/2025,BANDIT,OTHER,NO AGE,SMALL,GRAY,MOUSE,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527054&location=MONT,
A525382,OWNER SUR,11/04/2024,*ROCKEFELLER,DOG,2 YEARS,MED,TAN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525382&location=MONT,
A448342,OWNER SUR,12/26/2024,ZERO,DOG,7 YEARS,LARGE,GRAY,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A448342&location=MONT,
A526053,OWNER SUR,11/26/2024,BENJI,DOG,7 YEARS,MED,BROWN / WHITE,BOXER / GERM SHEPHERD,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526053&location=MONT,
A527119,OWNER SUR,01/04/2025,*SURHOFF,BIRD,NO AGE,SMALL,BLUE,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527119&location=MONT,
A527120,OWNER SUR,01/04/2025,*TETTLETON,BIRD,NO AGE,SMALL,GREEN,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527120&location=MONT,
A527117,OWNER SUR,01/04/2025,*RIPKEN,BIRD,NO AGE,SMALL,BLUE,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527117&location=MONT,
A527118,OWNER SUR,01/04/2025,*ANDERSON,BIRD,NO AGE,SMALL,BLUE,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527118&location=MONT,
A527116,OWNER SUR,01/04/2025,*JETER,BIRD,NO AGE,SMALL,BLUE,PARAKEET,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527116&location=MONT,
A513362,OWNER SUR,01/02/2025,*RAFAELA,OTHER,2 YEARS,SMALL,BROWN / WHITE,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513362&location=MONT,
A526170,OWNER SUR,12/02/2024,*MACHO,DOG,1 YEAR 1 MONTH,LARGE,TAN / WHITE,SIBERIAN HUSKY / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526170&location=MONT,
A526579,OWNER SUR,12/13/2024,JOJO,DOG,1 YEAR 1 MONTH,MED,BRINDLE,CANE CORSO / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526579&location=MONT,
A433059,OWNER SUR,09/12/2024,*FRANCOIS,DOG,7 YEARS,MED,BROWN / WHITE,SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A433059&location=MONT,
A471137,OWNER SUR,12/22/2024,SPARKY,DOG,7 YEARS,LARGE,BLACK / TAN,GERM SHEPHERD / SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A471137&location=MONT,
A526912,CONFISCATE,12/30/2024,HENNESSY,DOG,9 MONTHS,MED,FAWN,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A526912&location=MONT,
A513657,OWNER SUR,01/02/2025,SIMBA,DOG,2 YEARS,MED,BLACK / WHITE,GERM SHEPHERD / ALASKAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A513657&location=MONT,
A525472,OWNER SUR,11/07/2024,COCO,CAT,7 YEARS,MED,WHITE / BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525472&location=MONT,
A521551,FOSTER,01/10/2025,PEANUT,DOG,6 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521551&location=MONT,
A527277,OWNER SUR,01/11/2025,BROOKLYN,OTHER,2 YEARS,MED,GREEN / BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A527277&location=MONT,
A524562,OWNER SUR,10/13/2024,PIGGY,OTHER,NO AGE,MED,BROWN,TURTLE / REDEARED SLIDER,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524562&location=MONT,
